Code,Designation,Stock,Emplacement,Prix d'achat,Prix de vente HT,Prix de vente TTC,
R1015P,JEUX DE DISQUE AV LOGAN /SYMBOL II,1,3,113.335,153.002,182.072,
CH3362,JOINT CULASSE Q76 EXP /R19 ESS,0,7C**,23.815,32.150,38.258,
73-8650,SIGLE AV DOKKER ,-2,10D3,20.642,27.866,33.160,
P1-RSB5-YT52,CACHE ANTIB SYMBOL II FACE II D *S/A*,1,10B*,19.757,26.671,31.738,
RE-WP-8330,TRIANGLE LAGUNA III D ,-1,,174.936,236.163,281.033,
908890837RX,SIGLE AR CLIO 4 2013,1,8C1,10.706,14.453,17.199,
654010016R,CHARNIERE CAPOT MEGANE III D,0,,97.000,119.310,141.978,
15KA003,PAREBOUE AV/AR KANGOO D,1,DEPOT,19.996,26.994,32.122,
3397007555,JEUX DE BALAIS POLO 7,-1,,53.457,66.821,79.516,
ART0009897,SIGLE AV.,-2,,0.000,0.000,0.000,
ART0010156,6PK1285,-1,,0.000,0.000,0.000,
WP803,FILTRE HABITACLE SCENIC II,0,2**,15.984,21.578,25.677,
111401HC0A,JAUGE D'HUILE MICRA K13,2,**,17.400,45.240,53.835,
ART0010933,VITRE DE PORTE AV MEGANE D,-1,,0.000,0.000,0.000,
RN09A03220N,ANTIB SANDERO/MCV,0,,29.888,40.348,48.014,
ART0011449,CACHE CALANDRE CELYSEE,-1,,0.000,0.000,0.000,
55-0253,EMETEUR EMBRAYAGE DOKKER,0,FA,83.997,113.395,134.940,
TH6937.89J,CORP THERMOSTAT 1.9DCI,1,9C,38.498,51.972,61.846,
B03014211,LOGEMENT DE PHARE MEGANE II G ,0,DP,36.822,49.709,59.153,
T99108,CARDAN SYMBOL II /LOGAN D,2,BUREAU,159.579,215.431,256.362,
09D0001,CALANDRE DOKKER,0,BUREAU,53.908,91.643,109.055,
RE-LS-5740,AXE DE BARRE DACIA ,0,R17**,17.316,23.376,27.817,
CH9585,JOINT CULASSE Q79.5 MEGANE II / III ESS,0,7C**,49.635,67.007,79.738,
